fighter,D,L,NC,W,total
cole smith,0,0,0,1,1
cole smith ,0,2,0,0,2
cole williams,0,1,0,0,1
cole williams ,0,1,0,0,1
colin fletcher,0,1,0,0,1
colin fletcher ,0,1,0,0,1
colin robinson,0,2,0,0,2
collin anglin,0,1,0,0,1
collin anglin ,0,1,0,0,1
collin hart,0,1,0,0,1
colton smith ,0,3,0,1,4
connor matthews,0,1,0,0,1
conor mcgregor,0,3,0,6,9
conor mcgregor ,0,1,0,4,5
constantinos philippou,0,2,0,4,6
constantinos philippou ,0,2,0,2,4
corey anderson,0,3,0,4,7
corey anderson ,0,2,0,6,8
corey hill,0,2,0,0,2
corey hill ,0,0,0,1,1
cortavious romious,0,1,0,0,1
cortney casey,0,6,0,2,8
cortney casey ,0,3,0,4,7
cory hendricks ,0,1,0,0,1
cory mckenna,0,2,0,2,4
cory mckenna ,0,1,0,1,2
cory sandhagen,0,2,0,5,7
cory sandhagen ,0,2,0,5,7
cory walmsley,0,1,0,0,1
court mcgee,0,2,0,1,3
court mcgee ,0,10,0,10,20
courtney turner,0,1,0,0,1
crafton wallace,0,2,0,0,2
craig white,0,2,0,0,2
cristian quinonez,0,1,0,1,2
cristian quinonez ,0,1,0,0,1
cristiane justino ,0,1,0,6,7
cristiano marcello ,0,3,0,1,4
cristina stanciu,0,2,0,0,2
cub swanson,0,3,0,1,4
cub swanson ,0,7,0,14,21
cung le,0,2,0,1,3
cung le ,0,0,0,1,1
curt warburton,0,2,0,1,3
curtis blaydes,0,3,1,5,9
curtis blaydes ,0,2,0,8,10
curtis millender,0,1,0,1,2
curtis millender ,0,1,0,2,3
curtis stout,0,2,0,0,2
cynthia calvillo,1,2,0,4,7
cynthia calvillo ,0,4,0,2,6
cyril asker,0,2,0,1,3
cyril asker ,0,1,0,1,2
cyrille diabate,0,1,0,2,3
cyrille diabate ,0,3,0,2,5
da woon jung,0,3,0,0,3
da woon jung ,0,1,0,0,1
da'mon blackshear,1,1,0,1,3
da'mon blackshear ,0,2,0,2,4
da-un jung,0,0,0,1,1
da-un jung ,1,0,0,3,4
daichi abe,0,2,0,0,2
daichi abe ,0,0,0,1,1
daiju takase,0,3,0,0,3
dakota bush,0,1,0,0,1
dakota bush ,0,1,0,0,1
dalcha lungiambula,0,3,0,0,3
dalcha lungiambula ,0,2,0,2,4
dale hartt,0,2,0,0,2
dale hartt ,0,0,0,1,1
damacio page,0,2,0,0,2
damacio page ,0,1,0,0,1
damarques johnson,0,2,0,0,2
damarques johnson ,0,4,0,4,8
damian grabowski,0,2,0,0,2
damian grabowski ,0,1,0,0,1
damian stasiak,0,1,0,2,3
damian stasiak ,0,3,0,0,3
damien brown,0,1,0,1,2
damien brown ,0,3,0,1,4
damir hadzovic,0,4,0,3,7
damir hadzovic ,0,1,0,1,2
damir ismagulov,0,1,0,2,3
damir ismagulov ,0,1,0,3,4
damon jackson,0,5,1,3,9
damon jackson ,1,1,0,3,5
dan argueta,0,1,0,0,1
dan argueta ,0,3,1,1,5
dan barrera,0,1,0,0,1
dan bobish,0,1,0,0,1
dan bobish ,0,0,0,1,1
dan christison,0,1,0,0,1
dan christison ,0,0,0,1,1
dan cramer,0,1,0,0,1
dan cramer ,0,0,0,1,1
dan evensen,0,2,0,0,2
dan hardy,0,2,0,0,2
dan hardy ,0,2,0,6,8
dan henderson,0,8,0,3,11
dan henderson ,0,1,0,6,7
dan hooker,0,6,0,7,13
dan hooker ,0,2,0,7,9
dan ige,0,4,0,3,7
dan ige ,0,3,0,7,10
dan lauzon,0,3,0,0,3
dan miller,0,4,0,1,5
dan miller ,0,3,0,5,8
dan moret,0,3,0,0,3
dan severn,0,3,0,0,3
dan severn ,0,0,0,8,8
dan stittgen,0,1,0,0,1
dan stittgen ,0,1,0,0,1
danaa batgerel,0,1,0,0,1
danaa batgerel ,0,0,0,3,3
daniel barez,0,1,0,0,1
daniel barez ,0,0,0,1,1
daniel cormier,0,2,0,3,5
daniel cormier ,0,1,1,8,10
daniel da silva,0,1,0,0,1
daniel da silva ,0,2,0,0,2
daniel jolly,0,1,0,0,1
daniel jolly ,0,1,0,0,1
daniel kelly,0,2,0,2,4
daniel kelly ,0,2,0,4,6
daniel lacerda,0,2,1,0,3
daniel marcos,0,0,0,4,4
daniel marcos ,0,0,1,0,1
daniel omielanczuk,0,2,0,2,4
daniel omielanczuk ,0,3,0,2,5
daniel pineda,0,7,1,3,11
daniel pineda ,0,1,0,2,3
daniel roberts,0,2,0,2,4
daniel roberts ,0,2,0,1,3
daniel rodriguez,0,2,0,4,6
daniel rodriguez ,0,2,0,4,6
daniel santos,0,1,0,1,2
daniel santos ,0,0,0,1,1
daniel sarafian,0,1,0,0,1
daniel sarafian ,0,3,0,2,5
daniel spitz,0,2,0,1,3
daniel spitz ,0,1,0,0,1
daniel spohn,0,1,0,0,1
daniel teymur,0,3,0,0,3
daniel teymur ,0,1,0,1,2
daniel zellhuber,0,1,0,1,2
daniel zellhuber ,0,1,0,2,3
danielle taylor,0,1,0,2,3
danielle taylor ,0,2,0,0,2
danillo villefort,0,1,0,0,1
danilo belluardo,0,2,0,0,2
danilo marques,0,2,0,2,4
danny abbadi,0,2,0,0,2
danny barlow,0,0,0,1,1
danny barlow ,0,0,0,1,1
danny castillo,0,5,0,3,8
danny castillo ,0,2,0,4,6
danny chavez,0,2,0,1,3
danny chavez ,1,0,0,0,1
danny downes,0,1,0,0,1
danny downes ,0,1,0,0,1
danny henry,0,1,0,0,1
danny henry ,0,1,0,2,3
danny martinez,0,2,0,1,3
danny martinez ,0,1,0,0,1
danny mitchell,0,2,0,0,2
danny roberts,0,3,0,1,4
danny roberts ,0,4,0,6,10
danny silva,0,0,0,1,1
dante rivera,0,1,0,0,1
danyelle wolf,0,1,0,0,1
daria zhelezniakova,0,1,0,1,2
darian weeks,0,2,0,0,2
darian weeks ,0,1,0,0,1
darko stosic,0,1,0,1,2
darko stosic ,0,2,0,0,2
daron cruickshank,0,3,1,2,6
daron cruickshank ,0,3,0,4,7
darrel gholar,0,1,0,0,1
darrell horcher,0,3,0,1,4
darrell montague,0,2,0,0,2
darrell montague ,0,1,0,0,1
darren elkins,0,3,0,7,10
darren elkins ,0,7,0,12,19
darren stewart,0,4,2,5,11
darren stewart ,0,3,0,0,3
darren till,1,3,0,4,8
darren till ,0,2,0,2,4
darren uyenoyama,0,1,0,1,2
darren uyenoyama ,0,1,0,1,2
darrick minner,0,3,0,1,4
darrick minner ,0,1,0,1,2
darrill schoonover,0,1,0,0,1
darrius flowers,0,3,0,0,3
dashon johnson,0,2,0,0,2
dave beneteau,0,3,0,0,3
dave beneteau ,0,0,0,3,3
dave berry,0,1,0,0,1
dave galera,0,1,0,0,1
dave herman,0,4,0,0,4
dave herman ,0,0,0,1,1
dave menne,0,4,0,0,4
dave menne ,0,0,0,2,2
dave strasser,0,1,0,0,1
dave strasser ,0,0,0,1,1
davey grant,0,2,0,4,6
davey grant ,0,4,0,3,7
davi ramos,0,2,0,1,3
davi ramos ,0,1,0,3,4
david abbott,0,10,0,0,10
david abbott ,0,0,0,8,8
david baron,0,1,0,0,1
david bielkheden,0,2,0,0,2
david bielkheden ,0,0,0,1,1
david branch,0,2,0,3,5
david branch ,0,3,0,1,4
david dodd,0,2,0,0,2
david dvorak,0,1,0,2,3
david dvorak ,0,2,0,1,3
david heath,0,3,0,0,3
david heath ,0,0,0,2,2
david hood,0,1,0,0,1
david kaplan,0,2,0,0,2
david lee,0,2,0,0,2
david levicki,0,1,0,0,1
david loiseau,0,4,0,0,4
david loiseau ,0,1,0,4,5
david michaud,0,1,0,0,1
david michaud ,0,1,0,1,2
david mitchell,0,4,0,1,5
david onama,0,2,0,2,4
david onama ,0,0,0,3,3
david roberts,0,1,0,0,1
david terrell,0,1,0,0,1
david terrell ,0,0,0,2,2
david teymur,0,1,0,2,3
david teymur ,0,0,0,3,3
david velasquez,0,1,0,0,1
david zawada,0,3,0,1,4
david zawada ,0,1,0,0,1
dean barry ,0,1,0,0,1
dean lister,0,2,0,0,2
dean lister ,0,0,0,4,4
deanna bennett ,1,0,0,0,1
deiveson figueiredo,0,2,0,7,9
deiveson figueiredo ,1,2,0,6,9
delson heleno ,0,1,0,0,1
demetrious johnson,0,1,0,3,4
demetrious johnson ,1,1,0,12,14
demian maia,0,5,0,3,8
demian maia ,0,6,0,19,25
denis kang,0,2,0,0,2
denis kang ,0,0,0,1,1
denis stojnic,0,2,0,0,2
denis tiuliulin,0,5,0,0,5
denis tiuliulin ,0,0,0,1,1
denise gomes,0,1,0,4,5
denise gomes ,0,1,0,0,1
dennis bermudez,0,2,0,1,3
dennis bermudez ,0,5,0,9,14
dennis buzukja,0,1,0,0,1
dennis buzukja ,0,2,0,1,3
dennis hallman,0,4,0,3,7
dennis hallman ,0,1,0,1,2
dennis siver,0,6,0,3,9
dennis siver ,0,2,1,9,12
denys bondar,0,3,0,0,3
dequan townsend,0,3,0,0,3
dequan townsend ,0,1,0,0,1
derek brunson,0,5,0,4,9
derek brunson ,0,2,0,10,12
derek downey,0,1,0,0,1
deron winn,0,2,0,0,2
deron winn ,0,1,0,2,3
derrick krantz,0,2,0,0,2
derrick lewis,0,4,0,3,7
derrick lewis ,0,6,0,16,22
derrick noble,0,1,0,0,1
desmond green,0,3,0,2,5
desmond green ,0,0,0,2,2
devin clark,0,5,0,4,9
devin clark ,0,4,0,4,8
devin powell ,0,3,0,1,4
devonte smith ,0,3,0,3,6
dhiego lima,0,3,0,3,6
dhiego lima ,0,4,0,1,5
diana belbita,0,3,0,0,3
diana belbita ,0,2,0,2,4
diego brandao,0,2,0,1,3
diego brandao ,0,2,0,5,7
diego ferreira,0,1,0,7,8
diego ferreira ,0,4,0,3,7
diego lopes,0,1,0,3,4
diego lopes ,0,0,0,2,2
diego nunes,0,2,0,3,5
diego nunes ,0,1,0,0,1
diego rivas,0,1,0,1,2
diego rivas ,0,1,0,1,2
diego sanchez,0,7,0,1,8
diego sanchez ,0,6,0,18,24
diego saraiva,0,3,0,0,3
dieusel berto,0,1,0,0,1
dileno lopes,0,2,0,0,2
din thomas,0,4,0,0,4
din thomas ,0,0,0,5,5
dione barbosa,0,1,0,0,1
dione barbosa ,0,0,0,1,1
dmitri stepanov,0,1,0,0,1
dmitrii smoliakov,0,2,0,0,2
dmitrii smoliakov ,0,1,0,0,1
dmitry sosnovskiy,0,0,0,1,1
dokonjonosuke mishima,0,2,0,0,2
domingo pilarte,0,1,0,0,1
domingo pilarte ,0,1,1,0,2
dominic waters,0,3,0,0,3
dominick cruz,0,2,0,2,4
dominick cruz ,0,1,0,5,6
dominick reyes,0,1,0,5,6
dominick reyes ,0,3,0,3,6
dominique steele,0,4,0,0,4
dominique steele ,0,0,0,1,1
don frye,0,1,0,0,1
don frye ,0,0,0,9,9
don madge,0,0,0,1,1
don madge ,0,0,0,1,1
don shainis,0,2,0,0,2
don'tale mayes,0,5,0,1,6
don'tale mayes ,0,1,0,3,4
donald cerrone,0,8,0,5,13
donald cerrone ,0,6,1,18,25
dong hyun kim,0,2,1,3,6
dong hyun kim ,0,2,0,10,12
dong hyun ma,0,4,0,2,6
dong hyun ma ,0,1,0,1,2
donghun choi,0,0,0,1,1
dongi yang,0,3,0,1,4
dongi yang ,0,0,0,1,1
donnie chappell,0,1,0,0,1
donny walker,0,2,0,0,2
dooho choi,0,2,0,2,4
dooho choi ,1,1,0,3,5
dorian price,0,1,0,0,1
doug evans,0,2,0,0,2
douglas silva de andrade,0,2,0,2,4
douglas silva de andrade ,0,4,0,5,9
drakkar klose,0,3,0,6,9
drakkar klose ,0,0,0,3,3
drako rodriguez,0,2,0,0,2
drew dober,0,7,1,4,12
drew dober ,0,3,0,9,12
drew fickett,0,3,0,0,3
drew fickett ,0,0,0,4,4
drew mcfedries,0,5,0,0,5
drew mcfedries ,0,0,0,4,4
dricus du plessis,0,0,0,7,7
dricus du plessis ,0,0,0,1,1
duane ludwig,0,3,0,1,4
duane ludwig ,0,2,0,3,5
duda santana,0,1,0,0,1
dusko todorovic,0,4,0,3,7
dusko todorovic ,0,1,0,0,1
dustin hazelett,0,4,0,0,4
dustin hazelett ,0,1,0,5,6
dustin jacoby,1,3,0,1,5
dustin jacoby ,0,3,0,7,10
dustin kimura,0,3,0,1,4
dustin kimura ,0,0,0,1,1
dustin neace,0,1,0,0,1
dustin ortiz,0,4,0,3,7
dustin ortiz ,0,2,0,5,7
dustin pague,0,2,0,0,2
dustin pague ,0,3,0,1,4
dustin poirier,0,5,1,3,9
dustin poirier ,0,3,0,19,22
dustin stoltzfus,0,4,0,3,7
dustin stoltzfus ,0,1,0,0,1
dwayne cason,0,1,0,0,1
dwayne cason ,0,0,0,1,1
dwight grant,0,3,0,1,4
dwight grant ,0,2,0,2,4
dylan andrews ,0,3,0,2,5
dylan budka,0,1,0,0,1
dylan budka ,0,1,0,0,1
ebenezer fontes braga ,0,0,0,1,1
ed herman,0,9,1,3,13
ed herman ,0,3,0,10,13
eddie alvarez,0,1,0,3,4
eddie alvarez ,0,2,1,1,4
eddie gordon,0,1,0,1,2
eddie gordon ,0,2,0,0,2
eddie mendez,0,1,0,0,1
eddie ruiz,0,1,0,0,1
eddie sanchez,0,3,0,0,3
eddie sanchez ,0,0,0,3,3
eddie wineland,0,4,0,2,6
eddie wineland ,0,6,0,4,10
eddie yagin,0,1,0,1,2
edgar chairez,0,1,0,0,1
edgar chairez ,0,1,1,1,3
edgar garcia,0,3,0,0,3
edgar garcia ,0,1,0,0,1
edilberto de oliveira,0,2,0,0,2
edimilson souza,0,0,0,1,1
edimilson souza ,0,1,0,2,3
edmen shahbazyan,0,2,0,2,4
edmen shahbazyan ,0,3,0,4,7
ednaldo oliveira,0,1,0,0,1
ednaldo oliveira ,0,1,0,0,1
edson barboza,0,3,0,7,10
edson barboza ,0,9,0,11,20
eduarda moura,0,0,0,1,1
eduarda moura ,0,1,0,1,2
eduardo garagorri,0,2,0,0,2
eduardo garagorri ,0,0,0,1,1
edward faaloloto,0,2,0,0,2
edwin dewees,0,3,0,0,3
edwin figueroa,0,3,0,1,4
edwin figueroa ,0,1,0,1,2
efrain escudero,0,4,0,0,4
efrain escudero ,0,3,0,5,8
eiji mitsuoka,0,2,0,0,2
eldo xavier dias,0,1,0,0,1
elias garcia,0,1,0,0,1
elias garcia ,0,1,0,0,1
elias silverio,0,1,0,2,3
elias silverio ,0,1,0,1,2
elias theodorou,0,2,0,1,3
elias theodorou ,0,1,0,7,8
eliot marshall,0,2,0,0,2
eliot marshall ,0,1,0,3,4
elise reed,0,3,0,3,6
elise reed ,0,1,0,1,2
elizabeth phillips,0,2,0,1,3
elizabeth phillips ,0,1,0,0,1
elizeu zaleski dos santos,1,2,0,3,6
elizeu zaleski dos santos ,0,2,0,8,10
elves brener,0,1,0,2,3
elves brener ,0,1,0,1,2
elvis mutapcic,1,1,0,0,2
elvis mutapcic ,0,1,0,0,1
elvis sinosic,0,6,0,0,6
elvis sinosic ,0,0,0,1,1
emil meek,0,2,0,1,3
emil meek ,0,1,0,0,1
emily ducote,0,2,0,2,4
emily ducote ,0,1,0,0,1
emily kagan,0,1,0,0,1
emily kagan ,0,1,0,0,1
emily whitmire,0,2,0,2,4
emily whitmire ,0,2,0,0,2
emmanuel yarborough,0,1,0,0,1
enrique barzola,1,0,0,3,4
enrique barzola ,0,3,0,3,6
enrique marin,0,2,0,0,2
enson inoue ,0,0,0,1,1
eric martin,0,1,0,0,1
eric schafer,0,5,0,0,5
eric schafer ,0,1,0,3,4
eric shelton,0,1,0,2,3
eric shelton ,0,3,0,0,3
eric spicely,0,2,0,1,3
eric spicely ,0,3,0,1,4
eric wisely,0,2,0,0,2
erick gonzalez,0,2,0,0,2
erick gonzalez ,0,1,0,0,1
erick montano ,0,2,0,1,3
erick silva,0,4,0,0,4
erick silva ,0,4,0,7,11
ericka almeida,0,2,0,0,2
erik koch,0,1,0,2,3
erik koch ,0,4,0,3,7
erik perez,0,1,0,3,4
erik perez ,0,1,0,4,5
erik silva,0,1,0,0,1
erik silva ,0,1,0,0,1
erin blanchfield,0,0,0,2,2
erin blanchfield ,0,1,0,4,5
ernest chavez,0,2,0,0,2
ernest chavez ,0,0,0,1,1
ernesta kareckaite,0,1,0,0,1
ernie verdicia,0,1,0,0,1
eryk anders,0,5,0,2,7
eryk anders ,0,3,1,7,11
esteban ribovics,0,0,0,3,3
esteban ribovics ,0,1,0,0,1
estevan payan,0,2,0,0,2
estevan payan ,0,1,0,0,1
eugene jackson,0,4,0,0,4
eugene jackson ,0,0,0,3,3
eugenio tadeu,0,1,0,0,1
evan dunham,1,7,0,4,12
evan dunham ,0,2,0,7,9
evan elder,0,2,0,0,2
evan elder ,0,0,0,2,2
evan tanner,0,6,0,0,6
evan tanner ,0,0,0,11,11
fabiano iha,0,4,0,0,4
fabiano iha ,0,0,0,3,3
fabiano scherner,0,2,0,0,2
fabio cherant,0,3,0,0,3
fabio gurgel,0,1,0,0,1
fabio maldonado,0,4,0,1,5
fabio maldonado ,0,2,0,4,6
fabricio camoes,1,3,0,0,4
fabricio camoes ,0,1,0,1,2
fabricio werdum,0,3,0,3,6
fabricio werdum ,0,3,0,9,12
falaniko vitale,0,1,0,0,1
falaniko vitale ,0,0,0,1,1
fares ziam,0,2,0,3,5
fares ziam ,0,0,0,3,3
farid basharat,0,0,0,1,1
farid basharat ,0,0,0,2,2
fatima kline,0,1,0,0,1
felice herrig,0,2,0,1,3
felice herrig ,0,3,0,4,7
felicia spencer,0,2,0,1,3
felicia spencer ,0,1,0,2,3
felipe arantes,0,2,0,2,4
felipe arantes ,1,4,0,3,8
felipe bunes,0,1,0,0,1
felipe colares,0,4,0,2,6
felipe dos santos,0,1,0,1,2
felipe dos santos ,0,1,0,0,1
felipe lima,0,0,0,2,2
felipe olivieri,0,1,0,0,1
felipe silva,0,2,0,1,3
felix lee mitchell,0,3,0,0,3
feng xiaocan,0,1,0,0,1
fernando bruno,0,2,0,0,2
fernando padilla,0,1,0,1,2
fernando padilla ,0,1,0,1,2
fernie garcia,0,2,0,0,2
fernie garcia ,0,1,0,0,1
filip pejic ,0,1,0,0,1
flavio luiz moura,0,1,0,0,1
floyd sword,0,1,0,0,1
forrest griffin,0,5,0,0,5
forrest griffin ,0,0,0,10,10
forrest petz,0,4,0,0,4
forrest petz ,0,1,0,2,3
francesco maturi,0,1,0,0,1
francimar barroso,0,2,0,2,4
francimar barroso ,0,2,1,2,5
francis carmont,0,1,0,3,4
francis carmont ,0,2,0,3,5
francis marshall,0,0,0,2,2
francis marshall ,0,2,0,0,2
francis ngannou,0,1,0,4,5
francis ngannou ,0,1,0,8,9
francisco figueiredo,0,1,0,1,2
francisco figueiredo ,0,1,0,1,2
francisco prado,0,2,0,1,3
francisco rivera,0,3,1,3,7
francisco rivera ,0,3,0,1,4
francisco trevino,0,0,0,1,1
francisco trevino ,0,2,0,0,2
francisco trinaldo,0,5,0,3,8
francisco trinaldo ,0,3,0,15,18
frank camacho,0,3,0,2,5
frank camacho ,0,3,0,0,3
frank caracci,0,1,0,0,1
frank hamaker ,0,0,0,1,1
frank lester,0,1,0,0,1
frank mir,0,7,0,1,8
frank mir ,0,4,0,15,19
frank shamrock ,0,0,0,5,5
frank trigg,0,5,0,0,5
frank trigg ,0,0,0,2,2
frankie edgar,0,6,0,2,8
frankie edgar ,1,5,0,16,22
frankie perez,0,1,0,1,2
frankie perez ,0,2,0,0,2
frankie saenz,0,2,0,3,5
frankie saenz ,0,3,0,2,5
fred ettish,0,1,0,0,1
fredson paixao ,0,1,0,0,1
fredy serrano,0,2,0,2,4
gabe green,0,3,0,0,3
gabe green ,0,0,0,2,2
gabe ruediger,0,3,0,0,3
gabriel benitez,0,1,0,1,2
gabriel benitez ,0,7,0,6,13
gabriel bonfim ,0,1,0,3,4
gabriel gonzaga,0,8,0,0,8
gabriel gonzaga ,0,2,0,12,14
gabriel miranda,0,2,0,1,3
gabriel santos,0,2,0,1,3
gabriel silva,0,1,0,0,1
gabriel silva ,0,1,0,0,1
gabriella fernandes,0,2,0,2,4
gadzhi omargadzhiev,0,2,0,0,2
gadzhimurad antigulov,0,1,0,2,3
gadzhimurad antigulov ,0,3,0,0,3
gaetano pirrello,0,2,0,0,2
galore bofando,0,1,0,1,2
gan mcgee,0,2,0,0,2
gan mcgee ,0,0,0,2,2
garett whiteley,0,3,0,0,3
garreth mclellan,0,2,0,1,3
garreth mclellan ,0,2,0,0,2
garrett armfield,0,3,0,1,4
gary goodridge,0,4,0,0,4
gary goodridge ,0,0,0,4,4
gasan umalatov,0,3,0,1,4
gaston bolanos,0,1,0,1,2
gaston bolanos ,0,0,0,1,1
gavin tucker,0,2,0,1,3
gavin tucker ,0,1,0,3,4
geane herrera,0,3,0,1,4
gegard mousasi,0,2,0,4,6
gegard mousasi ,0,1,0,5,6
genaro valdez,0,3,0,0,3
genki sudo,0,1,0,0,1
genki sudo ,0,0,0,2,2
geoff neal,0,2,0,2,4
geoff neal ,0,2,0,5,7
george roop,0,6,0,2,8
george roop ,0,2,0,3,5
george sotiropoulos ,0,4,0,7,11
george sullivan,0,2,0,1,3
george sullivan ,0,2,0,2,4
georges st-pierre,0,2,0,1,3
georges st-pierre ,0,0,0,19,19
gerald harris ,0,1,0,3,4
gerald meerschaert,0,7,0,8,15
gerald meerschaert ,0,3,0,4,7
gerald strebendt,0,1,0,0,1
geraldo de freitas ,0,2,0,1,3
germaine de randamie,0,3,0,4,7
germaine de randamie ,0,0,0,3,3
gerry harris,0,1,0,0,1
geza kalman,0,1,0,0,1
geza kalman ,0,0,0,1,1
gian villante,0,3,0,3,6
gian villante ,0,8,0,4,12
gideon ray,0,3,0,0,3
giga chikadze,0,2,0,2,4
giga chikadze ,0,0,0,5,5
gil castillo,0,2,0,0,2
gil castillo ,0,0,0,1,1
gilbert aldana,0,2,0,0,2
gilbert burns,0,3,0,6,9
gilbert burns ,0,5,0,9,14
gilbert melendez,0,4,0,0,4
gilbert melendez ,0,2,0,1,3
gilbert smith,0,1,0,0,1
gilbert urbina,0,1,0,1,2
gilbert urbina ,0,1,0,0,1
gilbert yvel,0,3,0,0,3
gillian robertson,0,4,0,5,9
gillian robertson ,0,2,0,7,9
gina mazany,0,3,0,1,4
gina mazany ,0,3,0,1,4
glaico franca moreira ,0,2,0,1,3
gleison tibau,0,8,0,4,12
gleison tibau ,0,4,0,12,16
gloria de paula,0,2,0,1,3
gloria de paula ,0,1,0,0,1
glover teixeira,0,3,0,5,8
glover teixeira ,0,4,0,11,15
godofredo pepey,0,3,0,0,3
godofredo pepey ,0,3,0,5,8
gokhan saki ,0,1,0,1,2
goran reljic,0,3,0,0,3
goran reljic ,0,0,0,1,1
grant dawson,0,0,0,4,4
grant dawson ,1,1,0,6,8
gray maynard,1,1,0,1,3
gray maynard ,0,6,1,10,17
greg hardy,0,4,0,1,5
greg hardy ,0,1,1,3,5
greg soto,0,2,0,1,3
greg stott,0,1,0,0,1
gregor gillespie,0,1,0,3,4
gregor gillespie ,0,0,0,4,4
gregory rodrigues,0,1,0,6,7
gregory rodrigues ,0,1,0,1,2
grigory popov,0,1,0,0,1
grigory popov ,0,1,0,0,1
guangyou ning,0,1,0,0,1
guangyou ning ,0,1,0,2,3
guido cannetti,0,5,0,3,8
guido cannetti ,0,1,0,1,2
guilherme vasconcelos,0,1,0,0,1
gunnar nelson,0,2,0,3,5
gunnar nelson ,0,3,0,7,10
guram kutateladze,0,1,0,1,2
guram kutateladze ,0,1,0,1,2
gustavo lopez,0,2,0,0,2
gustavo lopez ,1,0,0,1,2
guto inocente,0,2,0,0,2
guy mezger,0,1,0,0,1
guy mezger ,0,0,0,4,4
hacran dias,0,2,0,2,4
hacran dias ,0,3,0,1,4
hailey cowan ,0,1,0,0,1
hakeem dawodu,0,3,0,1,4
hakeem dawodu ,0,1,0,5,6
hamdy abdelwahab,0,0,0,1,1
hannah cifers,0,4,0,1,5
hannah cifers ,0,1,0,1,2
hannah goldy,0,4,0,1,5
hans stringer,0,2,0,1,3
harold howard,0,2,0,0,2
harold howard ,0,0,0,1,1
harry hunsucker,0,3,0,0,3
harry moskowitz,0,2,0,0,2
hatsu hioki,0,2,0,0,2
hatsu hioki ,0,3,0,3,6
hayato sakurai,0,1,0,0,1
hayder hassan,0,1,0,0,1
hayder hassan ,0,1,0,0,1
he-man gipson,0,1,0,0,1
heath herring,0,3,0,0,3
heath herring ,0,0,0,2,2
heather clark,0,2,0,1,3
hector aldana,0,3,0,0,3
hector lombard,0,5,0,2,7
hector lombard ,0,3,1,1,5
hector ramirez,0,2,0,0,2
hector sandoval,0,2,0,0,2
hector sandoval ,0,0,0,2,2
hector urbina,0,1,0,1,2
hector urbina ,0,1,0,0,1
henrique da silva,0,2,0,1,3
henrique da silva ,0,2,0,1,3
henry briones,0,1,0,0,1
henry briones ,0,3,0,1,4
henry cejudo,0,4,0,3,7
henry cejudo ,0,0,0,7,7
henry martinez,0,2,0,0,2
henry martinez ,0,0,0,1,1
herbert burns,0,3,0,1,4
herbert burns ,0,1,0,1,2
hermes franca,0,5,0,0,5
hermes franca ,0,0,0,6,6
hernani perpetuo,0,1,0,0,1
hernani perpetuo ,0,1,0,0,1
holly holm,0,2,0,2,4
holly holm ,0,6,0,6,12
homer moore,0,1,0,0,1
horacio gutierrez,0,1,0,0,1
horacio gutierrez ,0,1,0,0,1
houston alexander,0,4,0,0,4
houston alexander ,0,0,0,2,2
houston dorr,0,1,0,0,1
hu yaozong,0,1,0,0,1
hu yaozong ,0,2,0,0,2
hugo duarte,0,1,0,0,1
hugo viana,0,1,0,3,4
hugo viana ,0,2,0,0,2
humberto bandenay,0,2,0,1,3
humberto bandenay ,0,1,0,0,1
humberto brown morrison,0,1,0,0,1
hunter azure,0,0,0,2,2
hunter azure ,0,2,0,0,2
hyder amil,0,0,0,2,2
hyun gyu lim,0,2,0,2,4
hyun gyu lim ,0,2,0,1,3
hyunsung park,0,0,0,1,1
hyunsung park ,0,0,0,1,1
ian entwistle,0,1,0,1,2
ian entwistle ,0,1,0,0,1
ian freeman,1,2,0,0,3
ian freeman ,0,0,0,3,3
ian garry,0,0,0,2,2
ian garry ,0,0,0,4,4
ian heinisch,0,3,0,2,5
ian heinisch ,0,1,0,1,2
ian loveland,0,2,0,0,2
ian loveland ,0,0,0,1,1
ian machado garry,0,1,0,1,2
ian machado garry ,0,0,0,1,1
ian mccall,1,2,0,1,4
ian mccall ,0,1,0,1,2
iasmin lucindo,0,1,0,3,4
iasmin lucindo ,0,0,0,1,1
ibo aslan ,0,0,0,1,1
icho larenas,0,1,0,0,1
ignacio bahamondes,0,1,0,3,4
ignacio bahamondes ,0,1,0,2,3
igor araujo,0,0,0,1,1
igor araujo ,0,2,0,1,3
igor pokrajac,0,6,0,2,8
igor pokrajac ,0,2,1,2,5
igor severino ,0,1,0,0,1
igor zinoviev,0,1,0,0,1
ihor potieria,0,5,0,2,7
ike villanueva,0,4,0,0,4
ike villanueva ,0,1,0,1,2
ikram aliskerov,0,1,0,1,2
ikuhisa minowa ,0,0,0,1,1
ildemar alcantara,0,2,0,2,4
ildemar alcantara ,0,1,0,2,3
ilia topuria,0,0,0,6,6
ilia topuria ,0,0,0,1,1
iliarde santos,0,2,0,0,2
iliarde santos ,0,1,0,0,1
ilir latifi,0,4,0,4,8
ilir latifi ,0,3,0,5,8
impa kasanganay,0,0,0,1,1
impa kasanganay ,0,2,0,1,3
inoue mizuki,0,1,0,1,2
ion cutelaba,0,6,0,3,9
ion cutelaba ,1,3,0,4,8
irene aldana,0,5,0,2,7
irene aldana ,0,1,0,6,7
irina alekseeva,0,0,0,1,1
irina alekseeva ,0,1,0,0,1
irwin rivera,0,2,0,0,2
irwin rivera ,0,0,0,1,1
