Fighter,wins,losses,draws,nc,total_matches
frank hamaker,1,0,0,0,1
frank lester,0,1,0,0,1
frank mir,16,11,0,0,27
frank shamrock,5,0,0,0,5
frank trigg,2,5,0,0,7
frankie edgar,18,11,1,0,30
frankie perez,1,3,0,0,4
frankie saenz,5,5,0,0,10
fred ettish,0,1,0,0,1
fredson paixao,0,1,0,0,1
fredy serrano,2,2,0,0,4
gabe green,2,3,0,0,5
gabe ruediger,0,3,0,0,3
gabriel benitez,7,8,0,0,15
gabriel bonfim,3,1,0,0,4
gabriel gonzaga,12,10,0,0,22
gabriel miranda,1,2,0,0,3
gabriel santos,1,2,0,0,3
gabriel silva,0,2,0,0,2
gabriella fernandes,2,2,0,0,4
gadzhi omargadzhiev,0,2,0,0,2
gadzhimurad antigulov,2,4,0,0,6
gaetano pirrello,0,2,0,0,2
galore bofando,1,1,0,0,2
gan mcgee,2,2,0,0,4
garett whiteley,0,3,0,0,3
garreth mclellan,1,4,0,0,5
garrett armfield,1,3,0,0,4
gary goodridge,4,4,0,0,8
gasan umalatov,1,3,0,0,4
gaston bolanos,2,1,0,0,3
gavin tucker,4,3,0,0,7
geane herrera,1,3,0,0,4
gegard mousasi,9,3,0,0,12
genaro valdez,0,3,0,0,3
genki sudo,2,1,0,0,3
geoff neal,7,4,0,0,11
george roop,5,8,0,0,13
george sotiropoulos,7,4,0,0,11
george sullivan,3,4,0,0,7
georges st-pierre,20,2,0,0,22
gerald harris,3,1,0,0,4
gerald meerschaert,12,10,0,0,22
gerald strebendt,0,1,0,0,1
geraldo de freitas,1,2,0,0,3
germaine de randamie,7,3,0,0,10
gerry harris,0,1,0,0,1
geza kalman,1,1,0,0,2
gian villante,7,11,0,0,18
gideon ray,0,3,0,0,3
giga chikadze,7,2,0,0,9
gil castillo,1,2,0,0,3
gilbert aldana,0,2,0,0,2
gilbert burns,15,8,0,0,23
gilbert melendez,1,6,0,0,7
gilbert smith,0,1,0,0,1
gilbert urbina,1,2,0,0,3
gilbert yvel,0,3,0,0,3
gillian robertson,12,6,0,0,18
gina mazany,2,6,0,0,8
glaico franca moreira,1,2,0,0,3
gleison tibau,16,12,0,0,28
gloria de paula,1,3,0,0,4
glover teixeira,16,7,0,0,23
godofredo pepey,5,6,0,0,11
gokhan saki,1,1,0,0,2
goran reljic,1,3,0,0,4
grant dawson,10,1,1,0,12
gray maynard,11,7,1,1,20
greg hardy,4,5,0,1,10
greg soto,1,2,0,0,3
greg stott,0,1,0,0,1
gregor gillespie,7,1,0,0,8
gregory rodrigues,7,2,0,0,9
grigory popov,0,2,0,0,2
guangyou ning,2,2,0,0,4
guido cannetti,4,6,0,0,10
guilherme vasconcelos,0,1,0,0,1
gunnar nelson,10,5,0,0,15
guram kutateladze,2,2,0,0,4
gustavo lopez,1,2,1,0,4
guto inocente,0,2,0,0,2
guy mezger,4,1,0,0,5
hacran dias,3,5,0,0,8
hailey cowan,0,1,0,0,1
hakeem dawodu,6,4,0,0,10
hamdy abdelwahab,1,0,0,0,1
hannah cifers,2,5,0,0,7
hannah goldy,1,4,0,0,5
hans stringer,1,2,0,0,3
harold howard,1,2,0,0,3
harry hunsucker,0,3,0,0,3
harry moskowitz,0,2,0,0,2
hatsu hioki,3,5,0,0,8
hayato sakurai,0,1,0,0,1
hayder hassan,0,2,0,0,2
he-man gipson,0,1,0,0,1
heath herring,2,3,0,0,5
heather clark,1,2,0,0,3
hector aldana,0,3,0,0,3
hector lombard,3,8,0,1,12
hector ramirez,0,2,0,0,2
hector sandoval,2,2,0,0,4
hector urbina,1,2,0,0,3
henrique da silva,2,4,0,0,6
henry briones,1,4,0,0,5
henry cejudo,10,4,0,0,14
henry martinez,1,2,0,0,3
herbert burns,2,4,0,0,6
hermes franca,6,5,0,0,11
hernani perpetuo,0,2,0,0,2
holly holm,8,8,0,0,16
homer moore,0,1,0,0,1
horacio gutierrez,0,2,0,0,2
houston alexander,2,4,0,0,6
houston dorr,0,1,0,0,1
hu yaozong,0,3,0,0,3
hugo duarte,0,1,0,0,1
hugo viana,3,3,0,0,6
humberto bandenay,1,3,0,0,4
humberto brown morrison,0,1,0,0,1
hunter azure,2,2,0,0,4
hyder amil,2,0,0,0,2
hyun gyu lim,3,4,0,0,7
hyunsung park,2,0,0,0,2
ian entwistle,1,2,0,0,3
ian freeman,3,2,1,0,6
ian garry,6,0,0,0,6
ian heinisch,3,4,0,0,7
ian loveland,1,2,0,0,3
ian machado garry,2,1,0,0,3
ian mccall,2,3,1,0,6
iasmin lucindo,4,1,0,0,5
ibo aslan,1,0,0,0,1
icho larenas,0,1,0,0,1
ignacio bahamondes,5,2,0,0,7
igor araujo,2,2,0,0,4
igor pokrajac,4,8,0,1,13
igor severino,0,1,0,0,1
igor zinoviev,0,1,0,0,1
ihor potieria,2,5,0,0,7
ike villanueva,1,5,0,0,6
ikram aliskerov,1,1,0,0,2
ikuhisa minowa,1,0,0,0,1
ildemar alcantara,4,3,0,0,7
ilia topuria,7,0,0,0,7
iliarde santos,0,3,0,0,3
ilir latifi,9,7,0,0,16
impa kasanganay,2,2,0,0,4
inoue mizuki,1,1,0,0,2
ion cutelaba,7,9,1,0,17
irene aldana,8,6,0,0,14
irina alekseeva,1,1,0,0,2
irwin rivera,1,2,0,0,3
isaac dulgarian,2,1,0,0,3
isaac vallie-flagg,1,3,0,0,4
isabela de padua,0,1,0,0,1
islam makhachev,14,1,0,0,15
ismael bonfim,2,1,0,0,3
ismail naurdiev,2,2,0,0,4
israel adesanya,13,4,0,0,17
issei tamura,1,2,0,0,3
istela nunes,0,4,0,0,4
iuri alcantara,10,7,0,1,18
ivan erslan,0,1,0,0,1
ivan jorge,2,2,0,0,4
ivan menjivar,4,5,0,0,9
ivan salaverry,3,4,0,0,7
ivan serati,0,1,0,0,1
ivana petrovic,1,2,0,0,3
izabela badurek,0,1,0,0,1
jacare souza,9,7,0,0,16
jack della maddalena,7,0,0,0,7
jack hermansson,11,6,0,0,17
jack jenkins,3,1,0,0,4
jack marshman,3,5,0,0,8
jack may,0,2,0,0,2
jack mcglaughlin,0,1,0,0,1
jack nilson,1,1,0,0,2
jack shore,6,3,0,0,9
jackie lee,0,1,0,0,1
jacob kilburn,0,2,0,0,2
jacob malkoun,4,3,0,0,7
jacob volkmann,6,4,0,0,10
jacqueline cavalcanti,3,0,0,0,3
jafel filho,2,1,0,0,3
jai herbert,3,4,1,0,8
jailton almeida,7,1,0,0,8
jairzinho rozenstruik,9,5,0,0,14
jake collier,5,9,0,0,14
jake ellenberger,10,11,0,0,21
jake hadley,3,4,0,0,7
jake hecht,1,2,0,0,3
jake lindsey,0,3,0,0,3
jake matthews,13,7,0,0,20
jake o'brien,4,3,0,0,7
jake rosholt,1,2,0,0,3
jake shields,4,3,0,1,8
jalin turner,7,5,0,0,12
jamahal hill,6,2,0,1,9
jamal pogues,2,1,0,0,3
jamall emmers,3,4,0,0,7
james bochnovic,0,2,0,0,2
james giboo,0,1,0,0,1
james hammortree,0,1,0,0,1
james head,2,3,0,0,5
james irvin,4,6,0,0,10
james krause,9,4,0,0,13
james lee,0,1,0,0,1
james llontop,0,3,0,0,3
james mcsweeney,1,2,0,0,3
james moontasri,2,4,0,0,6
james mulheron,0,1,0,0,1
james te huna,5,5,0,0,10
james toney,0,1,0,0,1
james vick,9,5,0,0,14
james wilks,2,2,0,0,4
james zikic,0,1,0,0,1
jamey simmons,0,2,0,0,2
jamey-lyn horth,2,2,0,0,4
jamie moyle,1,2,0,0,3
jamie mullarkey,5,6,0,0,11
jamie pickett,2,7,0,0,9
jamie varner,3,6,0,0,9
jamie yager,0,1,0,0,1
jan blachowicz,12,7,1,0,20
jaqueline amorim,3,1,0,0,4
jared cannonier,10,8,0,0,18
jared gooden,2,5,0,0,7
jared gordon,8,6,0,1,15
jared hamman,2,5,0,0,7
jared papazian,0,3,0,0,3
jared rollins,0,1,0,0,1
jared rosholt,6,2,0,0,8
jared vanderaa,1,6,0,0,7
jarjis danho,1,1,1,0,3
jarno errens,1,2,0,0,3
jarred brooks,2,2,0,0,4
jasmine jasudavicius,6,2,0,0,8
jason black,0,2,0,0,2
jason brilz,3,4,0,0,7
jason day,1,2,0,0,3
jason delucia,1,2,0,0,3
jason dent,1,3,0,0,4
jason fairn,0,1,0,0,1
jason gilliam,0,2,0,0,2
jason godsey,0,2,0,0,2
jason gonzalez,1,3,0,0,4
jason high,2,3,0,0,5
jason knight,4,5,0,0,9
jason lambert,4,4,0,0,8
jason macdonald,6,8,0,0,14
jason miller,0,3,0,0,3
jason novelli,0,2,0,0,2
jason reinhardt,0,3,0,0,3
jason saggo,3,3,0,0,6
jason tan,0,2,0,0,2
jason thacker,0,1,0,0,1
jason von flue,1,2,0,0,3
jason witt,2,4,0,0,6
jason young,1,3,0,0,4
javid basharat,3,1,0,0,4
javier vazquez,1,0,0,0,1
jay cucciniello,0,1,0,0,1
jay hieron,0,4,0,0,4
jay perrin,0,3,0,0,3
jay silva,0,2,0,0,2
jc cottrell,0,2,0,0,2
jean matsumoto,2,0,0,0,2
jean silva,3,0,0,0,3
jeff cox,0,2,0,0,2
jeff curran,0,3,0,0,3
jeff hougland,1,2,0,0,3
jeff hughes,0,3,0,1,4
jeff joslin,0,1,0,0,1
jeff molina,3,0,0,0,3
jeff monson,4,3,0,0,7
jeff newton,0,1,0,0,1
jeka saragih,1,2,0,0,3
jenel lausa,1,3,0,0,4
jennifer maia,6,6,0,0,12
jens pulver,6,2,1,0,9
jeongyeong lee,2,1,0,0,3
jeremiah wells,4,2,0,0,6
jeremy horn,6,7,0,0,13
jeremy jackson,0,2,0,0,2
jeremy kennedy,3,1,0,0,4
jeremy kimball,1,3,0,0,4
jeremy larsen,0,3,0,0,3
jeremy stephens,15,18,0,1,34
jermaine andre,0,1,0,0,1
jerome rivera,0,4,0,0,4
jerrod sanders,1,2,0,1,4
jerry bohlander,5,2,0,0,7
jess liaudin,2,3,0,0,5
jessamyn duke,1,3,0,0,4
jesse bongfeldt,0,1,1,0,2
jesse butler,0,2,0,0,2
jesse forbes,0,3,0,0,3
jesse lennox,1,2,0,0,3
jesse ronson,0,5,0,1,6
jesse sanders,0,1,0,0,1
jesse strader,0,2,0,0,2
jesse taylor,1,1,0,0,2
jessica aguilar,1,4,0,0,5
jessica andrade,17,11,0,0,28
jessica eye,5,10,0,1,16
jessica penne,3,6,0,0,9
jessica rakoczy,0,2,0,0,2
jessica-rose clark,4,5,0,0,9
jessin ayari,1,3,0,0,4
jesus aguilar,3,1,0,0,4
jesus pinedo,1,1,0,0,2
jhonata diniz,2,1,0,0,3
ji yeon kim,3,7,0,0,10
jianping yang,0,1,0,0,1
jim alers,1,2,0,1,4
jim miller,27,17,0,1,45
jim mullen,0,1,0,0,1
jim wallhead,0,2,0,0,2
jimi manuwa,6,6,0,0,12
jimmie rivera,7,4,0,0,11
jimmy crute,4,4,1,0,9
jimmy flick,2,3,0,0,5
jimmy quinlan,0,1,0,0,1
jimy hettes,3,3,0,0,6
jin soo son,0,2,0,0,2
jinh yu frey,2,5,0,0,7
jiri prochazka,4,2,0,0,6
jj aldrich,8,6,0,0,14
joachim christensen,1,3,0,0,4
joanderson brito,5,2,0,0,7
joanna jedrzejczyk,10,5,0,0,15
joanne wood,9,8,0,0,17
joao pierini,0,1,0,0,1
joao roque,0,1,0,0,1
joao zeferino,0,2,0,0,2
joaquim silva,6,5,0,0,11
joaquin buckley,11,4,0,0,15
joby sanchez,1,4,0,0,5
jocelyn jones-lybarger,0,3,0,0,3
jodie esquibel,0,4,0,0,4
joe brammer,0,2,0,0,2
joe charles,2,2,0,0,4
joe doerksen,2,7,0,0,9
joe duffy,4,4,0,0,8
joe ellenberger,1,1,0,0,2
joe giannetti,0,1,0,0,1
joe jordan,0,1,0,0,1
joe lauzon,15,12,0,0,27
joe merritt,0,1,0,0,1
joe moreira,1,1,0,0,2
joe pardo,0,1,0,0,1
joe proctor,4,4,0,0,8
joe pyfer,4,1,0,0,5
joe riggs,5,7,0,0,12
joe slick,1,1,0,0,2
joe solecki,5,3,0,0,8
joe son,0,1,0,0,1
joe soto,3,5,0,0,8
joe stevenson,8,8,0,0,16
joe vedepo,0,2,0,0,2
joe veres,0,2,0,0,2
joel alvarez,7,2,0,0,9
joel sutton,2,0,0,0,2
joey beltran,3,6,0,1,10
joey gambino,0,2,0,0,2
joey gilbert,0,1,0,0,1
joey gomez,0,2,0,0,2
joey roberts,0,1,0,0,1
john albert,1,4,0,0,5
john alessio,0,5,0,0,5
john allan,0,2,0,1,3
john campetella,0,1,0,0,1
john castaneda,4,3,0,0,7
john cholish,1,2,0,0,3
john cofer,0,2,0,0,2
john dodson,10,7,0,0,17
john dowdy,0,1,0,0,1
john gunderson,1,2,0,0,3
john gunther,1,1,0,0,2
john halverson,0,2,0,0,2
john hathaway,7,2,0,0,9
john howard,7,7,0,0,14
john kolosci,0,1,0,0,1
john lewis,1,1,0,0,2
john lineker,12,4,0,0,16
john lober,0,1,0,0,1
john maguire,2,3,0,0,5
john makdessi,11,9,0,0,20
john marsh,0,1,0,0,1
john matua,0,1,0,0,1
john moraga,8,6,0,0,14
john phillips,1,5,0,0,6
john polakowski,0,1,0,0,1
john salter,1,2,0,0,3
john teixeira,0,1,0,0,1
johnny bedford,2,3,0,1,6
johnny case,4,2,0,0,6
johnny eduardo,3,5,0,0,8
johnny munoz,2,4,0,0,6
johnny rees,0,2,0,0,2
johnny rhodes,2,1,0,0,3
johnny walker,7,6,0,0,13
johny hendricks,13,8,0,0,21
jon delos reyes,1,3,0,0,4
jon fitch,14,3,1,0,18
jon hess,1,0,0,0,1
jon jones,22,1,0,1,24
jon madsen,4,1,0,0,5
jon manley,0,1,0,0,1
jon olav einemo,0,2,0,0,2
jon tuck,4,5,0,0,9
jonathan brookins,2,3,0,0,5
jonathan goulet,4,5,0,0,9
jonathan martinez,10,5,0,0,15
jonathan meunier,1,1,0,0,2
jonathan pearce,5,4,0,0,9
jonathan wiezorek,1,0,0,0,1
jonathan wilson,1,3,0,0,4
jonavin webb,0,2,0,0,2
jonny parsons,1,0,0,0,1
jordan espinosa,2,4,0,0,6
jordan griffin,1,4,0,0,5
jordan johnson,4,0,0,0,4
jordan leavitt,4,3,0,0,7
jordan mein,5,4,0,0,9
jordan radev,0,2,0,0,2
jordan rinaldi,2,3,0,0,5
jordan vucenic,0,1,0,0,1
jordan williams,0,3,0,0,3
jordan wright,2,5,0,0,7
jorge de oliveira,0,2,0,0,2
jorge gurgel,3,4,0,0,7
jorge lopez,0,2,0,0,2
jorge masvidal,12,10,0,0,22
jorge patino,0,1,0,0,1
jorge rivera,8,7,0,0,15
jorge santiago,1,5,0,0,6
jose aldo,14,8,0,0,22
jose daniel medina,0,1,0,0,1
jose johnson,1,2,0,0,3
jose maria,0,2,0,0,2
jose ochoa,0,1,0,0,1
jose quinonez,5,4,0,0,9
jose torres,1,1,0,0,2
josefine knutsson,2,1,0,0,3
joselyne edwards,5,4,0,0,9
joseph benavidez,15,6,0,0,21
joseph gigliotti,0,2,0,0,2
joseph holmes,1,3,0,0,4
joseph morales,1,2,0,0,3
joseph sandoval,0,2,0,0,2
josh barnett,7,3,0,0,10
josh bryant,0,1,0,0,1
josh clopton,0,2,0,0,2
josh copeland,0,2,0,0,2
josh culibao,3,4,1,0,8
josh emmett,10,4,0,0,14
josh ferguson,0,2,0,0,2
josh fremd,2,4,0,0,6
josh grispi,0,4,0,0,4
josh haynes,0,3,0,0,3
josh hendricks,0,1,0,0,1
josh koscheck,15,10,0,0,25
josh neer,6,9,0,0,15
josh parisian,2,5,0,0,7
josh quinlan,1,3,0,0,4
josh rafferty,0,1,0,0,1
josh samman,3,2,0,0,5
josh sampo,1,3,0,0,4
josh shockley,0,2,0,0,2
josh shockman,0,1,0,0,1
josh stansbury,1,2,0,0,3
josh stuart,0,1,0,0,1
josh thomson,3,4,0,0,7
joshua burkman,6,12,0,1,19
joshua van,5,1,0,0,6
joshua weems,0,1,0,0,1
josiane nunes,3,2,0,0,5
journey newson,1,4,0,1,6
jp buys,0,4,0,0,4
juan adams,1,3,0,0,4
juan espino,2,1,0,0,3
juan manuel puig,0,2,0,0,2
juancamilo ronderos,0,2,0,0,2
jules bruchez,0,1,0,0,1
julia avila,3,2,0,0,5
julia polastri,1,1,0,0,2
julian erosa,8,7,0,0,15
julian marquez,3,4,0,0,7
julian sanchez,0,1,0,0,1
juliana lima,3,4,0,0,7
juliana miller,1,2,0,0,3
julianna pena,8,3,0,0,11
julie kedzie,0,2,0,0,2
julija stoliarenko,2,6,0,0,8
julio arce,6,4,0,0,10
julio paulino,0,2,0,0,2
jumabieke tuerxun,0,3,0,0,3
junie browning,1,1,0,0,2
junior albini,1,4,0,0,5
junior assuncao,2,3,0,0,5
junior dos santos,15,8,0,0,23
junior tafa,1,3,0,0,4
junyong park,8,3,0,0,11
jussier formiga,9,7,0,0,16
justin buchholz,1,4,0,0,5
justin edwards,2,5,0,0,7
justin eilers,1,3,0,0,4
justin frazier,0,1,0,0,1
justin gaethje,8,5,0,0,13
justin james,0,1,0,0,1
justin jaynes,1,4,0,0,5
justin jones,0,2,0,0,2
justin lawrence,1,2,0,0,3
justin ledet,3,4,0,0,7
justin levens,0,2,0,0,2
justin martin,1,0,0,0,1
justin mccully,2,2,0,0,4
justin salas,3,4,0,0,7
justin scoggins,4,5,0,0,9
justin tafa,4,4,0,1,9
justin willis,4,1,0,0,5
justin wren,0,1,0,0,1
justine kish,3,4,0,0,7
jutaro nakao,1,1,0,0,2
kaan ofli,0,1,0,0,1
kai asakura,0,1,0,0,1
kai kamaka,1,2,1,0,4
kai kara-france,8,4,0,0,12
kailin curran,1,6,0,0,7
kajan johnson,4,3,0,0,7
kalib starnes,2,3,0,0,5
kalindra faria,0,3,0,0,3
kamal shalorus,0,3,0,0,3
kamaru usman,15,2,0,0,17
kamuela kirk,1,2,0,0,3
kanako murata,1,2,0,0,3
karine gevorgyan,0,1,0,0,1
karine silva,4,1,0,0,5
karl roberson,4,6,0,0,10
karl williams,3,1,0,0,4
karlos vemola,2,4,0,0,6
karo parisyan,8,4,0,1,13
karol rosa,7,3,0,0,10
karolina kowalkiewicz,9,9,0,0,18
katlyn cerminara,0,1,0,0,1
katlyn chookagian,11,5,0,0,16
katsuhisa fujii,1,1,0,0,2
katsunori kikuno,2,3,0,0,5
kaue fernandes,1,1,0,0,2
kay hansen,1,3,0,0,4
kayla harrison,2,0,0,0,2
kaynan kruschewsky,0,2,0,0,2
kazuhiro nakamura,0,2,0,0,2
kazuki tokudome,1,3,0,0,4
kazula vargas,1,3,0,0,4
kazushi sakuraba,1,0,0,1,2
kb bhullar,0,2,0,0,2
keigo kunihara,0,1,0,0,1
keiichiro yamamiya,0,1,0,0,1
keita nakamura,4,7,0,0,11
keith berish,0,1,0,1,2
keith hackney,2,2,0,0,4
keith jardine,6,7,0,0,13
keith mielke,0,1,0,0,1
keith rockel,1,1,0,0,2
keith wisniewski,0,4,0,0,4
kelly dullanty,0,1,0,0,1
kelly faszholz,0,2,0,0,2
kelvin gastelum,13,9,0,1,23
ken shamrock,4,4,0,0,8
ken stone,2,2,0,0,4
kendall grove,7,6,0,0,13
kenichi yamamoto,2,1,0,0,3
kennedy nzechukwu,7,5,0,0,12
kenny florian,12,5,0,0,17
kenny robertson,4,5,0,0,9
kerry schall,0,1,0,0,1
ketlen souza,2,1,0,0,3
ketlen vieira,8,4,0,0,12
kevin aguilar,2,4,0,0,6
kevin borjas,0,2,0,0,2
kevin burns,2,3,0,0,5
kevin casey,1,3,1,2,7
kevin croom,0,3,0,1,4
kevin ferguson,1,1,0,0,2
kevin holland,13,9,0,1,23
kevin jackson,2,2,0,0,4
kevin jordan,0,2,0,0,2
kevin jousset,2,1,0,0,3
kevin lee,11,8,0,0,19
kevin natividad,0,3,0,0,3
kevin randleman,4,3,0,0,7
kevin rosier,0,1,0,0,1
khabib nurmagomedov,13,0,0,0,13
khadis ibragimov,0,4,0,0,4
khalid murtazaliev,1,0,0,0,1
khalid taha,1,4,0,1,6
khalil rountree jr.,9,6,0,1,16
khama worthy,2,3,0,0,5
khamzat chimaev,6,0,0,0,6
khaos williams,6,2,0,0,8
khusein askhabov,0,1,0,0,1
kiefer crosbie,0,2,0,0,2
kiichi kunimoto,3,2,0,0,5
kimo leopoldo,2,3,0,0,5
king green,0,1,0,0,1
kiru sahota,0,1,0,0,1
kit cope,0,1,0,0,1
kj noons,2,3,0,1,6
klaudia sygula,0,1,0,0,1
kleydson rodrigues,1,3,0,0,4
klidson abreu,1,2,0,1,4
koji kitao,0,1,0,0,1
koji oishi,0,2,0,0,2
konstantin erokhin,0,2,0,0,2
kris mccray,0,3,0,0,3
kris moutinho,0,2,0,0,2
kristian rothaermel,0,1,0,0,1
kristof midoux,0,1,0,0,1
kron gracie,1,3,0,0,4
krzysztof jotko,11,6,0,0,17
krzysztof soszynski,6,3,0,0,9
kuniyoshi hironaka,1,3,0,0,4
kurt holobaugh,2,5,0,0,7
kurt pellegrino,7,5,0,0,12
kwan ho kwak,0,2,0,0,2
kyle bochniak,2,5,0,0,7
kyle bradley,1,3,0,0,4
kyle daukaus,2,4,0,1,7
kyle kingsbury,4,5,0,0,9
kyle nelson,4,5,1,0,10
kyle noke,6,6,0,0,12
kyle prepolec,0,2,0,0,2
kyle stewart,0,2,0,0,2
kyle watson,1,1,0,0,2
kyler phillips,6,2,0,0,8
kyoji horiguchi,7,1,0,0,8
kyung ho kang,8,5,0,1,14
lance benoist,2,2,0,0,4
lance gibson,1,1,0,0,2
lando vannata,4,7,2,0,13
landon quinones,0,2,0,0,2
lara procopio,1,2,0,0,3
larissa pacheco,0,2,0,0,2
larry cureton,0,2,0,0,2
laureano staropoli,2,4,0,0,6
lauren mueller,1,3,0,0,4
lauren murphy,8,6,0,0,14
lavar johnson,2,2,0,0,4
laverne clark,4,1,0,0,5
leah letson,1,1,0,0,2
leandro issa,2,3,0,0,5
leandro silva,3,4,0,1,8
lee murray,1,0,0,0,1
leigh remedios,0,1,0,0,1
leo kuntz,0,2,0,0,2
leon edwards,14,3,0,1,18
leonard garcia,2,7,0,0,9
leonardo guimaraes,0,2,0,0,2
leonardo mafra,1,3,0,0,4
leonardo morales,0,2,0,0,2
leonardo santos,7,3,1,0,11
lerone murphy,6,0,1,0,7
leslie smith,4,3,0,0,7
levan makashvili,1,1,1,0,3
lewis gonzalez,0,1,0,0,1
li jingliang,11,7,0,0,18
liana jojua,1,3,0,0,4
liang na,0,2,0,0,2
liliya shakirova,0,1,0,0,1
lina lansberg,4,7,0,0,11
lisa ellis,0,2,0,0,2
liudvik sholinian,0,2,0,0,2
livinha souza,3,3,0,0,6
liz carmouche,5,5,0,0,10
lodune sincaid,0,1,0,0,1
logan clark,1,0,0,0,1
loik radzhabov,2,2,0,0,4
loma lookboonmee,6,2,0,0,8
lone'er kavanagh,1,0,0,0,1
loopy godinez,7,5,0,0,12
lorenz larkin,5,5,0,0,10
louis cosce,0,2,0,0,2
louis gaudinot,1,3,0,1,5
louis smolka,8,9,0,0,17
lowell anderson,0,1,0,0,1
luan chagas,1,2,1,0,4
luan lacerda,0,2,0,0,2
luana carolina,6,3,0,0,9
luana pinheiro,3,3,0,0,6
luana santos,3,1,0,0,4
lucas alexander,1,2,0,0,3
lucas almeida,2,2,0,0,4
lucas martins,4,3,0,0,7
lucas rocha,0,1,0,0,1
lucie pudilova,3,8,0,0,11
lucio linhares,0,2,0,0,2
ludovit klein,7,2,1,0,10
luigi fioravanti,4,5,0,0,9
luigi vendramini,1,3,0,0,4
luis henrique,2,4,0,0,6
luis pajuelo,0,1,0,0,1
luis pena,5,3,0,0,8
luis ramos,0,2,0,0,2
luis saldana,2,1,1,0,4
luiz cane,4,5,0,0,9
luiz dutra,0,2,0,0,2
lukasz brzeski,1,4,0,0,5
lukasz sajewski,0,3,0,0,3
luke barnatt,3,3,0,0,6
luke caudillo,0,2,0,0,2
luke cummo,3,4,0,0,7
luke jumeau,2,2,0,0,4
luke rockhold,6,5,0,0,11
luke sanders,3,5,0,0,8
luke zachrich,1,2,0,0,3
lyman good,3,3,0,0,6
lyoto machida,16,8,0,0,24
mac danzig,5,8,0,0,13
maciej jewtuszko,0,1,0,0,1
mackens semerzier,1,1,0,1,3
mackenzie dern,9,5,0,0,14
macy chiasson,8,3,0,0,11
mads burnell,1,2,0,0,3
magnus cedenblad,4,2,0,0,6
magomed ankalaev,10,1,1,0,12
magomed gadzhiyasulov,1,0,0,0,1
magomed mustafaev,3,2,0,0,5
maheshate,2,3,0,0,5
maia stevenson,0,1,0,0,1
maiquel falcao,1,0,0,0,1
mairbek taisumov,7,2,0,0,9
mairon santos,1,0,0,0,1
makhmud muradov,4,2,0,1,7
maki pitolo,1,5,0,0,6
makwan amirkhani,7,7,0,0,14
malcolm gordon,2,5,0,0,7
mallory martin,1,3,0,0,4
mana martinez,2,2,0,0,4
mandy bohm,1,2,0,0,3
manel kape,5,3,0,0,8
manny bermudez,3,2,0,0,5
manolo zecchini,0,1,0,0,1
manon fiorot,7,0,0,0,7
mansur abdul-malik,1,0,0,0,1
manuel rodriguez,0,1,0,0,1
manuel torres,3,1,0,0,4
manvel gamburyan,6,8,0,1,15
mara romero borella,2,5,0,0,7
marc diakiese,8,7,0,0,15
marc-andre barriault,5,8,0,1,14
marcel fortuna,1,2,0,0,3
marcelo aguiar,0,1,0,0,1
marcelo golm,1,3,0,0,4
marcelo guimaraes,2,2,0,0,4
marcelo mello,1,0,0,0,1
marcelo rojo,0,3,0,0,3
marcin bandel,0,2,0,0,2
marcin held,1,3,0,0,4
marcin prachnio,4,6,0,0,10
marcin tybura,13,8,0,0,21
marcin wrzosek,0,1,0,0,1
marcio alexandre junior,0,3,0,0,3
marcio cruz,2,2,0,0,4
marco beltran,3,3,0,0,6
marco polo reyes,4,4,0,0,8
marco ruas,4,2,0,0,6
marcos mariano,0,2,0,0,2
marcos rogerio de lima,11,7,0,0,18
marcos vinicius,1,2,0,0,3
marcus aurelio,2,4,0,0,6
marcus bossett,1,2,0,0,3
marcus brimage,4,4,0,0,8
marcus davis,9,6,0,0,15
marcus jones,0,1,0,0,1
marcus levesseur,1,2,0,0,3
marcus mcghee,4,0,0,0,4
marcus silveira,0,1,0,1,2
maria oliveira,1,3,0,0,4
marina rodriguez,7,5,2,0,14
mario bautista,9,2,0,0,11
mario miranda,1,3,0,0,4
mario neto,0,1,0,0,1
marion reneau,5,7,1,0,13
mariya agapova,2,4,0,0,6
mark bocek,8,5,0,0,13
mark coleman,7,5,0,0,12
mark de la rosa,2,5,0,0,7
mark eddiva,1,3,0,0,4
mark godbeer,2,2,0,0,4
mark hall,4,3,0,0,7
mark holst,0,2,0,0,2
mark hominick,3,4,0,0,7
mark hughes,1,0,0,0,1
mark hunt,8,8,1,1,18
mark kerr,4,0,0,0,4
mark madsen,4,2,0,0,6
mark munoz,9,6,0,0,15
mark robinson,0,0,0,1,1
mark scanlon,0,1,0,0,1
mark schultz,1,0,0,0,1
mark striegl,0,2,0,0,2
mark weir,1,2,0,0,3
markus perez,2,5,0,0,7
marlon moraes,5,6,0,0,11
marlon vera,15,9,0,0,24
marnic mann,0,2,0,0,2
marquel mederos,1,0,0,0,1
martin bravo,1,3,0,0,4
martin buday,5,1,0,0,6
martin day,0,4,0,0,4
martin kampmann,11,6,0,0,17
martin sano,0,1,0,0,1
martin svensson,0,1,0,0,1
marvin eastman,1,4,0,0,5
marvin vettori,9,5,1,0,15
maryna moroz,6,6,0,0,12
masanori kanehara,1,2,0,0,3
masio fullen,1,2,0,0,3
mason jones,1,2,0,1,4
masutatsu yano,0,1,0,0,1
mateus mendonca,0,3,0,0,3
mateusz gamrot,7,3,0,0,10
